Player,Team,K/D,BP Rating,Slayer Rating,T.E.S,HP KD,HP K/10M,HP DMG/10M,HP OBJ/10M,HP Eng/10M,HP Maps,SND KD,SND KPR,First Bloods,First Deaths,First Blood %,Plants,Defuses,SND Maps,CTL KD,CTL K/10M,CTL DMG/10M,CTL Eng/10M,Zone Tier Captures,CTL Maps,Game Time (Min),Non-Traded Kills,Maps,year
Cellium,ATL,1.21,1.18,75.98,0.79,1.16,20.83,4080,71.5,38.71,84,1.31,0.73,49,22,0.69,7,17,70,1.27,18.19,3807,32.58,163,55,1514,2792,209,2024
Scrap,TOR,1.16,1.13,88.57,0.74,1.16,25.37,4843,59.33,47.16,84,1.06,0.73,81,78,0.51,4,17,63,1.2,21.76,4425,39.86,166,53,1421,2954,200,2024
HyDra,NY,1.13,1.12,90.53,0.7,1.14,25.98,4718,41.45,48.69,94,1.13,0.78,105,98,0.52,27,12,75,1.12,21.47,3944,40.7,102,57,1596,3268,226,2024
Simp,ATL,1.13,1.17,86.38,0.72,1.13,24.05,4395,58.97,45.37,84,1.2,0.8,83,83,0.5,78,11,70,1.11,20.69,4147,39.31,201,55,1514,2911,209,2024
Attach,LV,1.09,1.03,76.75,0.73,1.08,21.01,4101,54.3,40.46,63,1.16,0.74,44,35,0.56,16,8,52,1.09,18.44,3876,35.36,108,40,1083,1931,155,2024
Pred,TX,1.09,1.11,82.63,0.69,1.1,23.9,4284,42.95,45.61,95,0.98,0.69,82,95,0.46,26,7,73,1.11,19.56,3692,37.15,145,54,1565,2909,222,2024
Gwinn,CAR,1.08,1,82.53,0.71,1.08,23.02,4162,59.93,44.27,72,1,0.75,70,70,0.5,17,8,56,1.1,20.06,3882,38.26,106,41,1130,2188,169,2024
Drazah,ATL,1.07,1.12,79.41,0.73,1.08,22.93,4320,59.11,44.11,84,0.98,0.66,78,69,0.53,24,13,70,1.09,19.13,3779,36.62,212,55,1514,2775,209,2024
Gio,LV,1.07,1.03,78.96,0.7,1.15,23.5,4285,50.22,44.01,48,0.91,0.63,28,26,0.52,7,6,39,1.01,18.07,3627,35.98,106,31,832,1513,118,2024
aBeZy,ATL,1.06,1.13,81.5,0.71,1.02,22.16,4061,48.89,43.8,84,1.11,0.77,134,112,0.54,47,18,70,1.11,20.19,3708,38.32,161,55,1514,2830,209,2024
Sib,NY,1.06,1.05,80.05,0.71,1.1,22.77,4470,49.44,43.44,94,0.93,0.67,84,89,0.49,33,7,75,1.04,19.85,4149,38.97,192,57,1596,2985,226,2024
Nero,LV,1.06,1.01,79.48,0.7,1.09,22.54,4205,64.8,43.28,63,0.9,0.68,72,98,0.42,80,9,52,1.07,19.37,3679,37.42,171,40,1083,1981,155,2024
Dashy,TX,1.05,1.08,74.7,0.74,1.02,20.79,4295,86.15,41.17,95,1.09,0.72,48,59,0.45,8,16,73,1.09,17.34,3705,33.19,251,54,1565,2739,222,2024
Shotzzy,TX,1.04,1.1,84.08,0.69,1.02,23.55,4223,61.41,46.72,95,1.12,0.77,106,107,0.5,91,13,73,1.06,20.01,3835,38.83,176,54,1565,2971,222,2024
CleanX,TOR,1.04,1.07,83.08,0.71,1.05,23.9,4436,42.85,46.67,84,0.99,0.72,84,87,0.49,21,8,63,1.03,19.52,3823,38.43,136,53,1421,2663,200,2024
Ghosty,LAT,1.03,1.01,79.08,0.71,1.03,22.74,4301,64.8,44.85,83,1.02,0.67,55,50,0.52,30,22,63,1.04,18.95,3761,37.13,165,48,1376,2557,194,2024
Insight,TOR,1.03,1.07,72.94,0.74,1.09,20.99,4046,86.03,40.34,84,1.09,0.68,33,42,0.44,20,16,63,0.92,16.05,3468,33.42,230,53,1421,2431,200,2024
Skyz,NY,1.02,1.04,70.64,0.75,1.02,20.02,4047,75.06,39.69,94,1.03,0.63,55,47,0.54,44,9,75,1.01,16.72,3569,33.33,167,57,1596,2636,226,2024
Abuzah,VAN,1.01,0.99,77.95,0.7,1,22.27,4253,86.75,44.46,79,1.08,0.7,56,51,0.52,9,15,60,0.99,17.94,3673,36.01,170,46,1310,2262,185,2024
Beans,BOS,1.01,0.88,79.73,0.72,1.04,23.43,4718,55.86,45.99,29,0.83,0.62,18,29,0.38,13,6,26,1.04,19.2,4215,37.71,30,18,466,843,73,2024
Kenny,TX,1,1.06,78.47,0.72,1.03,22.97,4442,59.57,45.33,95,0.91,0.64,92,84,0.52,43,6,73,0.97,18.36,3788,37.25,246,54,1565,2813,222,2024
Envoy,TOR,0.99,1.03,78.32,0.7,0.97,22.01,4119,66.41,44.59,84,0.93,0.66,71,88,0.45,125,14,63,1.03,19.79,3844,38.97,218,53,1421,2462,200,2024
Diamondcon,LAG,0.99,0.94,77.45,0.68,1.01,21.46,4079,48.82,42.72,66,1.03,0.75,63,50,0.56,18,12,52,0.93,18.04,3596,37.41,122,44,1133,1941,162,2024
ReeaL,MIA,0.98,0.94,81.36,0.68,1,23.18,4286,48.63,46.35,51,1.05,0.74,73,68,0.52,21,11,38,0.93,18.83,3668,39.08,60,30,815,1575,119,2024
Snoopy,BOS,0.98,0.94,79.56,0.67,0.98,22.25,4028,50.2,45.03,60,1.05,0.79,57,65,0.47,20,7,51,0.95,17.77,3419,36.39,125,37,1001,1746,148,2024
Lucky,MIA,0.98,0.96,75.68,0.7,0.97,20.94,4139,64.04,42.49,72,1.12,0.72,46,32,0.59,22,14,54,0.93,18,3749,37.3,127,44,1173,2037,170,2024
oJohnny,LV,0.97,0.99,80.33,0.7,1.02,22.51,4336,65.27,44.56,19,0.98,0.76,29,24,0.55,9,1,17,0.9,18.54,3867,39.11,34,12,331,617,48,2024
MettalZ,MIA,0.97,0.96,78.76,0.7,1,22.52,4512,58.51,45.06,72,1.03,0.71,68,70,0.49,21,9,54,0.9,18.04,3791,38.08,92,44,1173,2133,170,2024
TJHaLy,CAR,0.97,0.96,79.4,0.68,0.97,21.89,4052,54.2,44.54,67,1.02,0.74,76,71,0.52,61,3,51,0.96,19.38,3737,39.52,114,37,1046,1867,155,2024
Estreal,LAG,0.97,0.92,77.04,0.69,0.98,21.8,4076,50.28,44.11,66,0.9,0.67,71,61,0.54,46,11,52,0.97,18.66,3662,37.85,153,44,1133,1971,162,2024
Nastie,LAT,0.96,0.98,75.2,0.7,0.95,21.21,4134,56.22,43.52,70,1.03,0.68,46,32,0.59,17,14,54,0.96,17.73,3688,36.2,145,40,1159,1998,164,2024
Fame,LAG,0.96,0.92,76.27,0.69,0.94,20.71,3950,63.57,42.83,68,0.99,0.73,77,76,0.5,42,12,52,0.99,18.83,3797,37.87,159,45,1151,1927,165,2024
Gunless,MIN,0.96,0.92,76.03,0.7,0.94,21.45,4259,65.48,44.29,27,1.01,0.69,18,13,0.58,5,5,21,0.98,17.99,3759,36.35,59,16,443,806,64,2024
KiSMET,NY,0.96,1.02,79.18,0.68,0.94,22.07,4038,63.29,45.52,94,1.1,0.73,104,101,0.51,67,21,75,0.94,18.9,3840,38.91,233,57,1596,2819,226,2024
04,VAN,0.95,1.03,83.24,0.69,0.92,23.49,4290,52.77,48.9,47,1.06,0.76,51,62,0.45,13,8,37,0.95,19.59,3730,40.18,94,27,790,1447,111,2024
Priestahh,BOS,0.95,0.88,68.92,0.68,0.96,19.08,3717,58.97,38.95,54,0.79,0.58,33,40,0.45,33,9,47,0.99,18.05,3733,36.27,79,33,898,1460,134,2024
Flames,LAG,0.94,0.94,72.45,0.7,0.89,19.58,3991,58.24,41.5,25,0.99,0.68,14,19,0.42,7,9,21,1,18.44,3708,36.88,63,18,443,741,64,2024
Kremp,LAT,0.94,0.98,76.73,0.69,0.94,21.5,4055,51.38,44.3,70,1.04,0.74,92,91,0.5,9,14,54,0.89,17.43,3572,36.91,121,40,1159,1963,164,2024
Vikul,MIA,0.93,0.94,76.42,0.68,0.93,21.63,4059,58.22,44.89,71,0.97,0.67,52,64,0.45,51,10,53,0.93,18.32,3598,38.01,136,43,1153,2025,167,2024
JoeDeceives,LAT,0.93,0.96,77.03,0.69,0.9,21.69,4152,62.42,45.69,67,0.93,0.64,74,65,0.53,68,14,51,0.99,19.55,3932,39.31,159,39,1116,1917,157,2024
MajorManiak,BOS,0.93,0.79,68.73,0.67,1.04,20.7,3867,39.87,40.68,11,0.71,0.52,4,14,0.22,2,2,10,0.88,15.96,3076,34.12,19,8,195,292,29,2024
Assault,LAG,0.93,0.89,65.45,0.69,0.95,18.09,3621,50.91,37.21,38,0.85,0.57,18,25,0.42,5,6,28,0.94,16.65,3307,34.38,63,24,639,985,90,2024
Clayster,CAR,0.92,0.92,72.03,0.7,0.94,20.46,4164,56.55,42.25,65,0.86,0.61,44,49,0.47,15,11,51,0.91,17.76,3749,37.3,128,37,1031,1733,153,2024
Huke,VAN,0.92,0.93,75.36,0.67,0.91,21.75,4037,49.28,45.77,79,0.88,0.66,94,97,0.49,68,2,60,0.95,17.31,3374,35.44,111,46,1310,2116,185,2024
Standy,MIN,0.91,0.89,75.41,0.66,0.87,20.6,3995,52.66,44.16,42,1.04,0.73,38,38,0.5,50,5,34,0.91,18.09,3484,37.87,74,25,694,1158,101,2024
Pentagrxm,BOS,0.9,0.89,71.83,0.7,0.91,20.47,3942,50.6,42.96,15,0.71,0.56,20,35,0.36,18,4,14,1.01,18.62,3851,37.01,20,8,238,416,37,2024
Breszy,VAN,0.9,0.94,71.91,0.69,0.91,21.16,4140,47.34,44.34,59,0.88,0.62,42,39,0.52,15,8,45,0.89,16.01,3375,33.96,118,35,989,1598,139,2024
Afro,LAT,0.89,0.9,71.72,0.64,0.84,18.51,3418,48.7,40.44,29,1.09,0.78,32,19,0.63,12,5,21,0.89,17.57,3363,37.26,41,17,477,743,67,2024
Accuracy,MIN,0.88,0.88,69.82,0.67,0.88,19.89,4030,73.2,42.59,60,0.83,0.6,46,47,0.49,8,6,49,0.9,16.89,3491,35.74,110,36,1025,1540,145,2024