#,Team,HP +/-,HP Win %,HP K/D,HP Score,K/D,S&D Win %,S&D K/D,S&D Round Wins,S&D +/-,CTL Win %,CTL K/D,CTL Round Wins,CTL Round +/-,year
1st,TX,29.63,70.50%,1.04,232.25,1.04,47.90%,1.02,4.67,0.11,57.40%,1.06,2.31,0.5,2024
2nd,TOR,28.07,70.20%,1.07,229.64,1.05,58.70%,1.01,4.79,0.63,67.90%,1.05,2.4,0.6,2024
3rd,ATL,22.87,69.00%,1.1,231.48,1.12,65.70%,1.14,5.09,1.19,78.20%,1.14,2.65,1.13,2024
4th,NY,13.27,55.30%,1.05,222.63,1.04,58.70%,1.05,4.75,0.39,56.10%,1.03,2.21,0.3,2024
5th,LV,2.38,50.80%,1.05,218.89,1.02,34.60%,0.96,4.21,-0.69,47.50%,1.01,1.93,-0.32,2024
6th,VAN,-5.59,44.30%,0.94,213.38,0.95,55.00%,0.99,4.68,0.12,32.60%,0.95,1.7,-0.7,2024
7th,LAT,-8.07,43.40%,0.94,209.52,0.96,57.10%,1.01,4.57,-0.02,43.80%,0.96,2.1,-0.02,2024
8th,MIA,-8.76,38.90%,0.97,213.82,0.96,53.70%,1.02,4.94,0.24,38.60%,0.91,1.66,-0.66,2024
9th,CAR,-12.13,43.10%,0.99,208.22,0.97,44.60%,0.93,4.23,-0.41,43.90%,0.96,1.9,-0.15,2024
10th,BOS,-18.85,40.00%,0.97,207.75,0.96,21.60%,0.88,3.75,-1.49,51.40%,0.98,2,0.08,2024
11th,MIN,-19.98,32.80%,0.92,206.75,0.93,46.20%,0.95,4.29,-0.6,34.20%,0.93,1.82,-0.63,2024
12th,LAG,-30.24,31.70%,0.96,202.78,0.96,42.90%,0.97,4.53,-0.22,38.10%,0.97,1.71,-0.6,2024